city,voivodeship_name,latitude,longitude,source_name
BOLECHOWICE,MAŁOPOLSKIE,50.1479317,19.7915127,nominatim
ŁUKOWICA,MAŁOPOLSKIE,49.6052384,20.4928950,nominatim
STRÓŻE,MAŁOPOLSKIE,49.6541485,20.9758165,nominatim
UJŚCIE JEZUICKIE,MAŁOPOLSKIE,50.2417335,20.7396144,nominatim
BRZEZNA,MAŁOPOLSKIE,49.6013700,20.6175400,nominatim
BIAŁKA,MAŁOPOLSKIE,49.3366677,20.1340425,nominatim
MICHAŁOWICE,MAŁOPOLSKIE,50.1603193,19.9801697,nominatim
WOLA FILIPOWSKA,MAŁOPOLSKIE,50.1328995,19.5875894,nominatim
BRZOZÓWKA,MAŁOPOLSKIE,50.3739755,19.7974982,nominatim
WIEPRZ,MAŁOPOLSKIE,49.8990234,19.3658222,nominatim
CHEŁMIEC,MAŁOPOLSKIE,49.6307105,20.6639327,nominatim
KAMIENICA,MAŁOPOLSKIE,49.5743067,20.3453614,nominatim
RACIBOROWICE,MAŁOPOLSKIE,50.1185173,20.0324511,nominatim
LIBUSZA,MAŁOPOLSKIE,49.6917900,21.2392900,nominatim
PAŁECZNICA,MAŁOPOLSKIE,50.2904698,20.3009621,nominatim
ZADROŻE,MAŁOPOLSKIE,50.2874212,19.7950310,nominatim
ŁOSOSKOWICE,MAŁOPOLSKIE,50.1883710,20.1648749,nominatim
BOGUCICE,MAŁOPOLSKIE,50.0602240,20.4888007,nominatim
MYŚLACHOWICE,MAŁOPOLSKIE,50.1843275,19.4798804,nominatim
ANDRYCHÓW,MAŁOPOLSKIE,49.8555791,19.3436756,nominatim
MĘCINA,MAŁOPOLSKIE,49.6790190,20.5495183,nominatim
SŁOMNIKI,MAŁOPOLSKIE,50.2403739,20.0811369,nominatim
ŚWIĄTNIKI GÓRNE,MAŁOPOLSKIE,49.9346365,19.9524965,nominatim
MĘTKÓW,MAŁOPOLSKIE,50.0514577,19.3708169,nominatim
NOWE BRZESKO,MAŁOPOLSKIE,50.1322823,20.3767203,nominatim
SZYMBARK,MAŁOPOLSKIE,49.6277444,21.1084196,nominatim
WYSOKIE BRZEGI,MAŁOPOLSKIE,50.0443692,19.2460271,nominatim
BUDZÓW,MAŁOPOLSKIE,49.7741000,19.6674400,nominatim
NOWE RYBIE,MAŁOPOLSKIE,49.7775500,20.3305400,nominatim
ALEKSANDROWICE,MAŁOPOLSKIE,50.0813179,19.7633082,nominatim
ŁAPCZYCA,MAŁOPOLSKIE,49.9609570,20.3781439,nominatim
PROSZOWICE,MAŁOPOLSKIE,50.1926479,20.2917555,nominatim
KARNIOWICE,MAŁOPOLSKIE,50.1523320,19.7750834,nominatim
DOJAZDÓW,MAŁOPOLSKIE,50.1194477,20.1127764,nominatim
LISIA GÓRA,MAŁOPOLSKIE,50.0803263,21.0349497,nominatim
PRZEGINIA,MAŁOPOLSKIE,50.2356517,19.6992703,nominatim
ŁĄCKO,MAŁOPOLSKIE,49.5576697,20.4349281,nominatim
SIEDLCE,MAŁOPOLSKIE,49.6874943,20.7756825,nominatim
STARE ŻUKOWICE,MAŁOPOLSKIE,50.0902574,21.0844488,nominatim
DĄBROWA TARNOWSKA,MAŁOPOLSKIE,50.1743495,20.9850707,nominatim
BIEŃKÓWKA,MAŁOPOLSKIE,49.7734669,19.7517923,nominatim
RABA NIŻNA,MAŁOPOLSKIE,49.6432929,20.0339899,nominatim
POGÓRSKA WOLA,MAŁOPOLSKIE,50.0177656,21.1577533,nominatim
TĘGOBORZE,MAŁOPOLSKIE,49.7043039,20.6309013,nominatim
RYGLICE,MAŁOPOLSKIE,49.8783327,21.1380371,nominatim
KLĘCZANY,MAŁOPOLSKIE,49.6673335,20.6224465,nominatim
PODSARNIE,MAŁOPOLSKIE,49.5530714,19.7872406,nominatim
GROMIEC,MAŁOPOLSKIE,50.0580821,19.2916197,nominatim
BOBOWA,MAŁOPOLSKIE,49.7081074,20.9420020,nominatim
CHORĄGWICA,MAŁOPOLSKIE,49.9586210,20.0869851,nominatim
KRYNICA,MAŁOPOLSKIE,49.4096311,20.9571479,nominatim
TENCZYNEK,MAŁOPOLSKIE,50.1183988,19.6147916,nominatim
RZĄSKA,MAŁOPOLSKIE,50.0962228,19.8433954,nominatim
RADZISZÓW,MAŁOPOLSKIE,49.9383536,19.8095394,nominatim
KRZCZONÓW,MAŁOPOLSKIE,49.7373756,19.9324827,nominatim
USZEW,MAŁOPOLSKIE,49.9176249,20.6012671,nominatim
MORDARKA,MAŁOPOLSKIE,49.6997100,20.4608100,nominatim
KORZENNA,MAŁOPOLSKIE,49.6832111,20.8418416,nominatim
ŚWINIARY,MAŁOPOLSKIE,50.1289282,20.4727180,nominatim
CHARSZNICA,MAŁOPOLSKIE,50.4130511,19.9355395,nominatim
WOLBROM,MAŁOPOLSKIE,50.3848386,19.7598844,nominatim
BISKUPICE,MAŁOPOLSKIE,50.3485447,19.9894467,nominatim
CZCHÓW,MAŁOPOLSKIE,49.8339446,20.6731487,nominatim
SZRENIAWA,MAŁOPOLSKIE,50.3756941,19.8673162,nominatim
CHEŁMEK,MAŁOPOLSKIE,50.1003348,19.2542585,nominatim
BIAŁY KOŚCIÓŁ,MAŁOPOLSKIE,50.1682226,19.8298647,nominatim
ŁABOWA,MAŁOPOLSKIE,49.5275011,20.8553116,nominatim
RABA WYŻNA,MAŁOPOLSKIE,49.5647448,19.8805296,nominatim
PSARY,MAŁOPOLSKIE,50.1726785,19.5320272,nominatim
ZAGÓRZYCE DWORSKIE,MAŁOPOLSKIE,50.1800004,20.0405703,nominatim
PTASZKOWA,MAŁOPOLSKIE,49.6013865,20.8865863,nominatim
KRUŻLOWA WYŻNA,MAŁOPOLSKIE,49.6445700,20.8886900,nominatim
PROSZÓWKI,MAŁOPOLSKIE,50.0038259,20.4254081,nominatim
TRĄBKI,MAŁOPOLSKIE,49.9634505,20.1421007,nominatim
SŁOPNICE,MAŁOPOLSKIE,49.6989839,20.3518902,nominatim
ZGŁOBICE,MAŁOPOLSKIE,49.9768982,20.9111433,nominatim
LUBIEŃ,MAŁOPOLSKIE,49.7162965,19.9744819,nominatim
IWANOWICE DWORSKIE,MAŁOPOLSKIE,50.2134867,19.9791355,nominatim
POLANY,MAŁOPOLSKIE,49.5211021,20.9892943,nominatim
CZERNIEC,MAŁOPOLSKIE,49.5524812,20.4212933,nominatim
RZEZAWA,MAŁOPOLSKIE,49.9900045,20.5136140,nominatim
NAPRAWA,MAŁOPOLSKIE,49.6642000,19.8761700,nominatim
ZIMNODÓŁ,MAŁOPOLSKIE,50.2466225,19.6163407,nominatim
WAWRZEŃCZYCE,MAŁOPOLSKIE,50.1076224,20.3110117,nominatim
NIEPOŁOMICE,MAŁOPOLSKIE,50.0331163,20.2171599,nominatim
ŻEGOCINA,MAŁOPOLSKIE,49.8041261,20.4178990,nominatim
KLIMKÓWKA,MAŁOPOLSKIE,49.6790990,20.7327633,nominatim
SKRZYSZÓW,MAŁOPOLSKIE,49.9927156,21.0645866,nominatim
ILKOWICE,MAŁOPOLSKIE,50.0943564,20.8937138,nominatim
ZABAWA,MAŁOPOLSKIE,49.9939736,20.0897160,nominatim
MOGILANY,MAŁOPOLSKIE,49.9413293,19.8877676,nominatim
